SDSS Name P_orb P_orb_err K K_err M_wd M_wd_err dist_wd Sp2 n_Sp2 dist_2 M_2 M_2_err K_wd K_wd_err
- - h h km/s km/s Msun Msun pc - - pc Msun Msun km/s km/s
- - - - - - - - - - - - - - - -
J015225.38-005808.5 0152-0058 2.1519468 0.0000099 136.1 3.1 0.72 0.06 98 6.0 - 105 0.20 0.08 37 15
J022503.03+005456.3 0225+0054 21.8600000 0.1600000 88.5 5.1 - - - 4.4 - 408 0.32 0.09 - -
J023804.39-000545.7 0238-0005 5.0801000 0.0048000 254.6 2.9 0.48 0.15 768 3.0 - 529 0.38 0.07 201 71
J030138.24+050218.9 0301+0502 12.9387400 0.0004700 176.8 2.7 0.86 0.05 160 4.0 - 324 0.32 0.09 65 18
J030544.41-074941.2 0305-0749 48.4612000 0.0017000 67.2 2.3 0.52 0.05 365 4.0 - 331 0.32 0.09 41 12
J030716.44+384822.8 0307+3848 10.3266000 0.0023000 145.1 1.7 - - - 3.0 - 373 0.38 0.07 - -
J032038.72-063822.9 0320-0638 3.3751000 0.0018000 287.3 3.5 0.79 0.16 248 5.0 - 423 0.25 0.12 92 47
J080736.96+072412.0 0807+0724 11.4545100 0.0001700 119.9 5.1 0.61 0.10 534 3.0 - 624 0.38 0.07 74 18
J083354.84+070240.1 0833+0702 7.3440000 0.0210000 173.9 5.8 0.54 0.07 386 4.0 - 540 0.32 0.09 102 31
J085336.03+072033.5 0853+0720 3.6091000 0.0025000 226.2 4.7 - - - 3.0 - 573 0.38 0.07 - -
J092452.39+002449.0 0924+0024 57.7000000 0.2000000 96.0 11.0 0.52 0.03 335 4.0 - 514 0.32 0.09 58 17
J094913.37+032254.5 0949+0322 9.4910000 0.0150000 158.2 4.0 0.51 0.08 549 4.0 - 539 0.32 0.09 98 31
J100609.18+004417.0 1006+0044 6.7313000 0.0072000 210.7 5.6 0.93 0.08 60 9.0 - 38 0.12 0.01 26 3
J110517.60+385125.7 1105+3851 8.2740000 0.0110000 152.6 3.7 0.71 0.04 206 3.0 - 462 0.38 0.07 81 15
J114312.57+000926.5 1143+0009 9.2730000 0.0300000 180.9 7.9 0.60 0.05 296 4.0 - 415 0.32 0.09 96 28
J123139.80-031000.3 1231-0310 5.8493000 0.0094000 150.9 5.3 0.93 0.15 162 4.0 - 306 0.32 0.09 51 16
J130012.49+190857.4 1300+1908 7.3910000 0.0130000 138.4 4.4 1.09 0.10 124 4.0 - 378 0.32 0.09 40 12
